0, 1457671451.44, 2, 0, internal
0, 1457671451.95, 3, 0, sent, 2
1, 1457671502.78, 161, 0, sent, 3
1, 1457671503.12, 162, 0, recieved, 2, 161
1, 1457671503.45, 164, 0, recieved, 0, 163
1, 1457671503.78, 165, 0, recieved, 2, 163
1, 1457671504.12, 166, 0, recieved, 2, 164
1, 1457671504.45, 167, 0, internal
1, 1457671504.78, 168, 0, sent, 3
1, 1457671505.12, 169, 0, sent, 2
1, 1457671505.45, 170, 0, sent, 2
1, 1457671505.78, 171, 0, sent, 1
1, 1457671506.12, 172, 0, internal
1, 1457671506.45, 173, 0, recieved, 2, 172
1, 1457671506.78, 174, 0, sent, 3
1, 1457671507.11, 175, 0, internal
1, 1457671507.45, 176, 0, sent, 1
1, 1457671507.78, 177, 0, recieved, 2, 176
1, 1457671508.11, 178, 0, recieved, 2, 177
1, 1457671508.45, 179, 0, internal
1, 1457671508.78, 180, 0, sent, 2
1, 1457671509.12, 181, 0, internal
1, 1457671509.45, 182, 0, sent, 2
1, 1457671509.78, 183, 0, recieved, 2, 182
1, 1457671510.12, 184, 0, sent, 3
1, 1457671510.45, 185, 0, recieved, 2, 184
1, 1457671510.78, 186, 0, sent, 3
1, 1457671511.12, 187, 0, recieved, 2, 186
2, 1457671451.45, 2, 0, sent, 2
2, 1457671451.78, 3, 0, recieved, 1, 2
2, 1457671452.11, 4, 0, recieved, 0, 3
2, 1457671452.45, 5, 0, recieved, 1, 4
2, 1457671452.78, 6, 0, internal
2, 1457671453.11, 7, 0, recieved, 0, 6
2, 1457671453.45, 8, 0, internal
2, 1457671453.78, 9, 0, sent, 1
2, 1457671454.12, 10, 0, internal
2, 1457671454.45, 11, 0, internal
2, 1457671454.78, 12, 0, recieved, 1, 11
2, 1457671455.12, 13, 0, recieved, 1, 12
2, 1457671455.45, 14, 0, sent, 1
2, 1457671455.78, 15, 0, internal
2, 1457671456.11, 16, 0, recieved, 1, 15
2, 1457671456.45, 17, 0, recieved, 1, 16
2, 1457671456.78, 18, 0, internal
2, 1457671457.11, 19, 0, sent, 2
2, 1457671457.45, 20, 0, sent, 1
2, 1457671457.78, 21, 0, sent, 1
2, 1457671458.12, 22, 0, recieved, 1, 21
2, 1457671458.45, 23, 0, internal
2, 1457671458.78, 24, 0, recieved, 1, 23
2, 1457671459.12, 25, 0, recieved, 1, 24
2, 1457671459.45, 26, 0, recieved, 1, 25
2, 1457671459.78, 27, 0, recieved, 1, 26
2, 1457671460.11, 28, 0, sent, 1
2, 1457671460.45, 29, 0, internal
2, 1457671460.78, 30, 0, recieved, 1, 29
2, 1457671461.12, 31, 0, sent, 1
2, 1457671461.45, 32, 0, sent, 2
2, 1457671461.78, 33, 0, internal
2, 1457671462.12, 34, 0, sent, 3
2, 1457671462.45, 35, 0, internal
2, 1457671462.78, 36, 0, sent, 2
2, 1457671463.11, 37, 0, sent, 3
2, 1457671463.45, 38, 0, sent, 1
2, 1457671463.78, 39, 0, internal
2, 1457671464.12, 40, 0, recieved, 1, 39
2, 1457671464.45, 41, 0, sent, 1
2, 1457671464.78, 42, 0, sent, 3
2, 1457671465.11, 43, 0, recieved, 1, 42
2, 1457671465.45, 44, 0, internal
2, 1457671465.78, 45, 0, recieved, 1, 44
2, 1457671466.12, 46, 0, sent, 2
2, 1457671466.45, 47, 0, sent, 1
2, 1457671466.78, 48, 0, internal
2, 1457671467.12, 49, 0, sent, 3
2, 1457671467.45, 50, 0, recieved, 1, 49
2, 1457671467.78, 51, 0, sent, 3
2, 1457671468.12, 52, 0, sent, 3
2, 1457671468.45, 53, 0, internal
2, 1457671468.78, 54, 0, internal
2, 1457671469.11, 55, 0, internal
2, 1457671469.45, 56, 0, sent, 1
2, 1457671469.78, 57, 0, recieved, 1, 56
2, 1457671470.11, 58, 0, internal
2, 1457671470.45, 59, 0, sent, 3
2, 1457671470.78, 60, 0, internal
2, 1457671471.11, 61, 0, sent, 1
2, 1457671471.45, 62, 0, internal
2, 1457671471.78, 63, 0, internal
2, 1457671472.11, 64, 0, internal
2, 1457671472.45, 65, 0, sent, 2
2, 1457671472.78, 66, 0, sent, 3
2, 1457671473.11, 67, 0, sent, 1
2, 1457671473.45, 68, 0, internal
2, 1457671473.78, 69, 0, sent, 2
2, 1457671474.12, 70, 0, recieved, 1, 69
2, 1457671474.45, 71, 0, recieved, 0, 69
2, 1457671474.78, 72, 0, recieved, 1, 71
2, 1457671475.12, 73, 0, recieved, 1, 72
2, 1457671475.45, 74, 0, sent, 3
2, 1457671475.78, 75, 0, sent, 1
2, 1457671476.11, 76, 0, sent, 2
2, 1457671476.45, 77, 0, sent, 2
2, 1457671476.78, 78, 0, sent, 2
2, 1457671477.11, 79, 0, sent, 1
2, 1457671477.45, 80, 0, internal
2, 1457671477.78, 81, 0, sent, 3
2, 1457671478.12, 82, 0, sent, 2
2, 1457671478.45, 83, 0, internal
2, 1457671478.78, 84, 0, internal
2, 1457671479.11, 85, 0, recieved, 1, 84
2, 1457671479.45, 87, 0, recieved, 0, 86
2, 1457671479.78, 88, 0, sent, 3
2, 1457671480.11, 89, 0, internal
2, 1457671480.45, 90, 0, internal
2, 1457671480.78, 91, 0, internal
2, 1457671481.12, 92, 0, internal
2, 1457671481.45, 95, 0, recieved, 0, 94
2, 1457671481.78, 96, 0, internal
2, 1457671482.11, 97, 0, recieved, 1, 96
2, 1457671482.45, 98, 0, recieved, 0, 96
2, 1457671482.78, 99, 0, sent, 1
2, 1457671483.12, 100, 0, recieved, 1, 99
2, 1457671483.45, 101, 0, recieved, 1, 100
2, 1457671483.78, 102, 0, recieved, 1, 101
2, 1457671484.11, 103, 0, sent, 2
2, 1457671484.45, 104, 0, sent, 2
2, 1457671484.78, 105, 0, internal
2, 1457671485.12, 106, 0, recieved, 0, 105
2, 1457671485.45, 107, 0, recieved, 1, 106
2, 1457671485.78, 108, 0, internal
2, 1457671486.12, 109, 1, recieved, 1, 108
2, 1457671486.45, 110, 0, recieved, 0, 107
2, 1457671486.78, 111, 0, sent, 2
2, 1457671487.12, 112, 0, sent, 2
2, 1457671487.45, 113, 0, internal
2, 1457671487.78, 114, 0, sent, 2
2, 1457671488.11, 115, 0, recieved, 1, 114
2, 1457671488.45, 116, 0, sent, 1
2, 1457671488.78, 117, 0, sent, 1
2, 1457671489.12, 118, 0, sent, 2
2, 1457671489.45, 119, 0, sent, 3
2, 1457671489.78, 120, 0, internal
2, 1457671490.11, 121, 0, internal
2, 1457671490.45, 122, 0, recieved, 1, 121
2, 1457671490.78, 123, 0, internal
2, 1457671491.12, 124, 0, recieved, 1, 123
2, 1457671491.45, 126, 0, recieved, 0, 125
2, 1457671491.78, 128, 0, recieved, 1, 127
2, 1457671492.12, 129, 0, internal
2, 1457671492.45, 130, 0, internal
2, 1457671492.78, 131, 0, recieved, 1, 129
2, 1457671493.12, 132, 0, sent, 1
2, 1457671493.45, 133, 0, recieved, 1, 131
2, 1457671493.78, 134, 0, internal
2, 1457671494.11, 135, 0, sent, 1
2, 1457671494.45, 136, 0, recieved, 1, 134
2, 1457671494.78, 137, 0, sent, 2
2, 1457671495.12, 138, 0, recieved, 1, 136
2, 1457671495.45, 139, 0, sent, 3
2, 1457671495.78, 140, 0, sent, 1
2, 1457671496.12, 141, 0, sent, 2
2, 1457671496.45, 142, 0, recieved, 1, 141
2, 1457671496.78, 143, 0, internal
2, 1457671497.12, 144, 0, internal
2, 1457671497.45, 145, 0, sent, 3
2, 1457671497.78, 146, 0, recieved, 1, 145
2, 1457671498.11, 147, 0, internal
2, 1457671498.45, 148, 0, recieved, 1, 147
2, 1457671498.78, 149, 0, internal
2, 1457671499.12, 150, 0, recieved, 0, 148
2, 1457671499.45, 151, 0, recieved, 1, 150
2, 1457671499.78, 152, 0, internal
2, 1457671500.11, 153, 0, recieved, 1, 152
2, 1457671500.45, 154, 0, recieved, 1, 153
2, 1457671500.78, 155, 0, recieved, 1, 154
2, 1457671501.12, 156, 0, recieved, 1, 155
2, 1457671501.45, 157, 0, sent, 2
2, 1457671501.78, 158, 0, recieved, 1, 157
2, 1457671502.12, 159, 0, sent, 3
2, 1457671502.45, 160, 0, recieved, 1, 159
2, 1457671502.78, 161, 0, sent, 2
2, 1457671503.12, 162, 0, recieved, 1, 161
2, 1457671503.45, 163, 0, sent, 3
2, 1457671503.78, 164, 0, sent, 2
2, 1457671504.12, 165, 0, internal
2, 1457671504.45, 166, 0, sent, 1
2, 1457671504.78, 167, 0, internal
2, 1457671505.12, 169, 1, recieved, 1, 168
2, 1457671505.45, 170, 0, recieved, 1, 169
2, 1457671505.78, 171, 0, recieved, 1, 170
2, 1457671506.12, 172, 0, sent, 2
2, 1457671506.45, 173, 0, sent, 1
2, 1457671506.78, 174, 0, internal
2, 1457671507.11, 175, 0, recieved, 1, 174
2, 1457671507.45, 176, 0, sent, 2
2, 1457671507.78, 177, 0, sent, 3
2, 1457671508.11, 178, 0, sent, 1
2, 1457671508.45, 179, 0, internal
2, 1457671508.78, 180, 0, internal
2, 1457671509.12, 181, 0, recieved, 1, 180
2, 1457671509.45, 182, 0, sent, 3
2, 1457671509.78, 183, 0, recieved, 1, 182
2, 1457671510.12, 184, 0, sent, 3
2, 1457671510.45, 185, 0, recieved, 1, 184
2, 1457671510.78, 186, 0, sent, 2
2, 1457671511.12, 187, 0, recieved, 1, 186
